entity	frequency
politico	19
Silvio Berlusconi	186
Barack Obama	135
Hillary Clinton	26
Vladimir Putin	183
scrittore	204
Sigmund Freud	137
J.K. Rowling	7
Ernest Hemingway	80
William Shakespeare	104
musicista	22
Freddie Mercury	17
Bob Dylan	183
Madonna	92
Wolfgang Amadeus Mozart	66
attore	350
Quentin Tarantino	70
Scarlett Johansson	6
Marylin Monroe	8
Woody Allen	23
stato	337
Spagna	204
Israele	135
Germania	324
Regno Unito	285
città	566
Roma	179
Parigi	226
New York	298
Amsterdam	135
corso d'acqua	8
Mar Mediterraneo	59
Oceano Atlantico	169
Nilo	74
Oceano Pacifico	67
monumento	61
Torre di Pisa	4
Stonehenge	68
Sagrada Familia	20
Macchu Picchu	86
