entity	log_frequency
Barack Obama	4.983606621708336
Hillary Clinton	4.204692619390966
Sigmund Freud	4.762173934797756
J.K. Rowling	3.4965075614664802
Freddie Mercury	3.970291913552122
Britney Spears	4.276666119016055
Scarlett Johansson	2.4849066497880004
Robert De Niro	3.091042453358316
Israele	4.795790545596741
Sud Africa	3.9889840465642745
New York	4.553876891600541
Rio De Janeiro	3.4011973816621555
Cascate del Niagara	3.295836866004329
Mar dei Caraibi	2.8903717578961645
Muraglia Cinese	2.3978952727983707
Piramidi di Giza	3.4011973816621555
Machu Picchu	3.9889840465642745
Canada	4.343805421853684
