entity	log_frequency
Barack Obama	7.216709486709457
Hillary Clinton	6.320768294250582
Sigmund Freud	6.727431724850855
J.K. Rowling	6.131226489483141
Freddie Mercury	6.300785794663244
Britney Spears	6.802394763324311
Scarlett Johansson	5.220355825078324
Robert De Niro	6.375024819828097
Israele	9.63469265580283
Sud Africa	9.50383054471094
New York	11.25972211093469
Rio De Janeiro	8.789050713521046
Cascate del Niagara	5.389071729816501
Mar dei Caraibi	6.061456918928017
Muraglia Cinese	4.795790545596741
Piramidi di Giza	5.298317366548036
Machu Picchu	5.017279836814924
Canada	10.468687718765452
